NO,NO_2
2.5649493574615367,55
2.3978952727983707,48
2.1972245773362196,51
2.833213344056216,59
4.343805421853684,84
2.302585092994046,52
3.258096538021482,46
2.302585092994046,37
3.4339872044851463,68
1.791759469228055,32
1.6094379124341003,15
3.8066624897703196,69
4.574710978503383,112
2.5649493574615367,44
2.5649493574615367,36
2.5649493574615367,93
3.7376696182833684,46
2.302585092994046,40
1.791759469228055,21
1.9459101490553132,30
4.77912349311153,71
4.1588830833596715,82
1.9459101490553132,53
3.4011973816621555,56
2.0794415416798357,31
2.0794415416798357,29
2.6390573296152584,55
1.9459101490553132,37
3.1354942159291497,58
2.9444389791664403,59
1.9459101490553132,44
1.791759469228055,11
