NO,NO_2
4.02535169073515,70
3.044522437723423,54
3.6109179126442243,57
3.332204510175204,77
1.6094379124341003,28
4.276666119016055,102
2.1972245773362196,41
3.258096538021482,57
3.5263605246161616,85
4.189654742026425,97
3.912023005428146,101
1.6094379124341003,12
2.6390573296152584,61
2.4849066497880004,63
3.4965075614664802,80
3.5263605246161616,57
2.772588722239781,52
2.9444389791664403,44
2.833213344056216,26
3.8066624897703196,89
3.258096538021482,75
2.302585092994046,53
3.58351893845611,56
3.295836866004329,32
1.791759469228055,22
2.8903717578961645,54
1.6094379124341003,12
3.6888794541139363,84
2.3978952727983707,37
3.295836866004329,48
4.04305126783455,86
3.044522437723423,55
3.295836866004329,82
3.5263605246161616,62
2.302585092994046,16
2.995732273553991,43
1.9459101490553132,48
1.9459101490553132,20
3.1780538303479458,81
2.995732273553991,63
4.219507705176107,94
1.6094379124341003,29
4.2626798770413155,56
3.4011973816621555,62
1.9459101490553132,50
3.4339872044851463,93
4.30406509320417,54
4.605170185988092,107
2.0794415416798357,46
3.6635616461296463,47
4.110873864173311,84
2.0794415416798357,47
1.9459101490553132,31
4.553876891600541,105
1.6094379124341003,15
3.2188758248682006,70
2.772588722239781,33
3.9512437185814275,77
4.927253685157205,50
1.791759469228055,48
2.8903717578961645,60
