listing_id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
74758,84.0,9.0,8.0,9.0,9.0,8.0,8.0
77175,98.0,10.0,10.0,10.0,10.0,10.0,10.0
77932,83.0,8.0,8.0,9.0,9.0,8.0,8.0
80394,98.0,10.0,10.0,10.0,10.0,9.0,10.0
81158,94.0,10.0,9.0,10.0,10.0,10.0,9.0
81256,78.0,8.0,7.0,8.0,9.0,7.0,8.0
81535,97.0,10.0,10.0,10.0,10.0,8.0,9.0
83257,97.0,10.0,10.0,10.0,10.0,10.0,10.0
84777,95.0,10.0,10.0,10.0,10.0,10.0,10.0
87640,99.0,10.0,10.0,10.0,10.0,10.0,10.0
99094,96.0,10.0,10.0,10.0,10.0,10.0,10.0
115242,98.0,10.0,10.0,10.0,10.0,10.0,9.0
121065,99.0,10.0,10.0,10.0,10.0,10.0,9.0
128230,99.0,10.0,10.0,10.0,10.0,10.0,10.0
132441,96.0,10.0,10.0,10.0,10.0,10.0,10.0
134015,97.0,9.0,9.0,10.0,10.0,10.0,9.0
134193,94.0,10.0,9.0,9.0,10.0,9.0,9.0
137129,100.0,8.0,8.0,8.0,8.0,10.0,8.0
150347,94.0,9.0,9.0,10.0,9.0,9.0,9.0
166199,96.0,10.0,10.0,10.0,9.0,10.0,9.0
175090,87.0,9.0,9.0,9.0,10.0,10.0,9.0
176274,83.0,9.0,7.0,9.0,10.0,9.0,7.0
177137,97.0,10.0,10.0,10.0,10.0,9.0,10.0
191632,97.0,10.0,10.0,10.0,10.0,10.0,10.0
201313,100.0,10.0,10.0,10.0,10.0,10.0,10.0
201579,97.0,10.0,10.0,10.0,10.0,10.0,10.0
207980,96.0,10.0,9.0,10.0,10.0,10.0,10.0
209514,94.0,10.0,10.0,10.0,10.0,10.0,10.0
212265,100.0,10.0,10.0,10.0,10.0,10.0,10.0
216042,99.0,10.0,10.0,10.0,10.0,10.0,10.0
224579,98.0,10.0,10.0,10.0,10.0,10.0,10.0
229240,93.0,10.0,9.0,10.0,10.0,10.0,9.0
231129,88.0,9.0,9.0,9.0,9.0,10.0,9.0
231752,99.0,10.0,10.0,10.0,10.0,10.0,10.0
232060,98.0,10.0,10.0,10.0,10.0,10.0,9.0
238190,97.0,10.0,10.0,10.0,10.0,10.0,9.0
241235,93.0,9.0,9.0,10.0,10.0,10.0,9.0
244361,97.0,10.0,10.0,10.0,10.0,9.0,9.0
259622,94.0,10.0,9.0,10.0,10.0,10.0,9.0
271602,98.0,10.0,10.0,10.0,10.0,9.0,9.0
273530,98.0,10.0,10.0,10.0,10.0,10.0,10.0
277339,97.0,10.0,10.0,10.0,10.0,10.0,10.0
286311,96.0,10.0,10.0,10.0,10.0,10.0,9.0
292723,82.0,8.0,8.0,9.0,9.0,8.0,8.0
307837,97.0,10.0,10.0,10.0,10.0,10.0,9.0
326650,94.0,9.0,9.0,10.0,10.0,10.0,9.0
334886,98.0,10.0,10.0,10.0,10.0,10.0,10.0
338849,100.0,10.0,10.0,10.0,10.0,10.0,10.0
344621,97.0,10.0,10.0,10.0,10.0,9.0,9.0
345760,94.0,9.0,9.0,10.0,10.0,10.0,9.0
350479,96.0,10.0,9.0,10.0,10.0,10.0,9.0
351881,97.0,10.0,9.0,10.0,10.0,10.0,10.0
353292,100.0,10.0,9.0,10.0,10.0,10.0,10.0
379255,99.0,10.0,10.0,10.0,10.0,10.0,9.0
379349,93.0,10.0,9.0,10.0,10.0,10.0,9.0
392543,97.0,10.0,10.0,10.0,10.0,10.0,10.0
408471,96.0,9.0,9.0,10.0,10.0,10.0,9.0
423300,95.0,10.0,10.0,10.0,10.0,10.0,10.0
430692,98.0,10.0,9.0,10.0,10.0,10.0,10.0
431632,89.0,10.0,9.0,10.0,10.0,10.0,9.0
438967,97.0,10.0,9.0,10.0,10.0,10.0,9.0
450992,86.0,9.0,7.0,9.0,10.0,10.0,8.0
456568,96.0,10.0,9.0,10.0,9.0,10.0,10.0
479415,95.0,10.0,9.0,10.0,10.0,10.0,9.0
487499,96.0,10.0,9.0,10.0,10.0,10.0,9.0
491867,96.0,10.0,10.0,10.0,10.0,10.0,9.0
503362,99.0,10.0,10.0,10.0,10.0,9.0,9.0
505530,87.0,10.0,8.0,10.0,10.0,8.0,9.0
517803,100.0,9.0,10.0,10.0,10.0,9.0,9.0
522273,96.0,10.0,10.0,10.0,10.0,9.0,10.0
527226,97.0,10.0,10.0,10.0,10.0,9.0,10.0
589676,97.0,10.0,10.0,10.0,10.0,10.0,9.0
591524,99.0,10.0,10.0,10.0,10.0,10.0,9.0
592883,92.0,10.0,9.0,10.0,10.0,9.0,9.0
607500,97.0,10.0,10.0,10.0,10.0,10.0,9.0
616517,96.0,10.0,9.0,10.0,10.0,9.0,9.0
632303,100.0,10.0,10.0,10.0,10.0,9.0,10.0
640605,97.0,9.0,10.0,10.0,10.0,10.0,9.0
643918,95.0,10.0,10.0,10.0,10.0,10.0,9.0
644091,99.0,10.0,10.0,10.0,10.0,10.0,10.0
646275,96.0,10.0,10.0,9.0,10.0,10.0,10.0
647360,99.0,10.0,10.0,10.0,10.0,10.0,10.0
654279,99.0,10.0,10.0,10.0,10.0,10.0,10.0
699723,97.0,10.0,10.0,10.0,10.0,10.0,10.0
713877,96.0,10.0,10.0,10.0,10.0,10.0,10.0
726657,96.0,10.0,10.0,10.0,9.0,10.0,10.0
727866,98.0,10.0,10.0,10.0,10.0,10.0,10.0
728585,98.0,10.0,10.0,10.0,10.0,10.0,10.0
734839,99.0,10.0,10.0,10.0,10.0,10.0,10.0
741327,72.0,8.0,8.0,7.0,7.0,8.0,7.0
746079,97.0,10.0,10.0,10.0,10.0,10.0,10.0
752607,95.0,10.0,10.0,10.0,10.0,10.0,9.0
754117,99.0,10.0,10.0,10.0,10.0,10.0,9.0
758815,96.0,10.0,10.0,10.0,10.0,10.0,9.0
767506,96.0,10.0,9.0,10.0,10.0,10.0,9.0
769734,96.0,10.0,10.0,10.0,10.0,10.0,10.0
774323,97.0,10.0,10.0,10.0,10.0,10.0,10.0
781945,74.0,6.0,6.0,4.0,10.0,10.0,8.0
785901,93.0,10.0,9.0,10.0,10.0,10.0,10.0
797887,95.0,10.0,9.0,10.0,10.0,9.0,9.0
806199,99.0,10.0,10.0,10.0,10.0,10.0,9.0
829185,100.0,10.0,10.0,10.0,10.0,10.0,10.0
833149,88.0,9.0,8.0,10.0,9.0,10.0,8.0
859310,97.0,10.0,10.0,10.0,10.0,10.0,10.0
859336,97.0,10.0,10.0,10.0,10.0,10.0,9.0
863987,100.0,10.0,10.0,10.0,10.0,10.0,10.0
867499,100.0,10.0,10.0,10.0,10.0,10.0,10.0
878935,97.0,10.0,10.0,10.0,10.0,10.0,10.0
881105,93.0,10.0,10.0,10.0,9.0,10.0,9.0
890875,91.0,9.0,9.0,10.0,10.0,10.0,9.0
900941,98.0,10.0,10.0,10.0,10.0,10.0,9.0
902435,100.0,10.0,10.0,10.0,10.0,10.0,10.0
909063,100.0,10.0,10.0,10.0,10.0,10.0,10.0
923807,89.0,9.0,7.0,10.0,10.0,10.0,8.0
929468,95.0,10.0,10.0,10.0,10.0,10.0,9.0
931313,85.0,9.0,9.0,9.0,9.0,9.0,8.0
932481,100.0,10.0,10.0,10.0,10.0,10.0,10.0
934012,95.0,10.0,9.0,10.0,10.0,10.0,10.0
936209,97.0,10.0,10.0,10.0,10.0,10.0,9.0
938330,94.0,10.0,10.0,10.0,10.0,10.0,9.0
943851,100.0,10.0,10.0,10.0,9.0,9.0,9.0
968046,95.0,9.0,10.0,10.0,10.0,9.0,9.0
982298,93.0,9.0,9.0,9.0,9.0,9.0,9.0
