track,artist,danceability,energy,valence,tempo,previously_heard,liked
Prayer In C,Lillywood & Robin Schulz,0.763,0.875,0.8,123.01299999999999,Haven't Heard,Like
Dedication,Nipsey Hussle Featuring Kendrick Lamar,0.512,0.7340000000000001,0.168,93.995,Heard,Like
Where Do Broken Hearts Go,One Direction,0.565,0.862,0.647,122.994,Heard,Like
Bad Liar,Selena Gomez,0.965,0.414,0.728,121.03200000000001,Haven't Heard,Dislike
Worth It,YK Osiris,0.764,0.528,0.42200000000000004,123.936,Haven't Heard,Dislike
Unconditionally,Katy Perry,0.397,0.725,0.358,128.861,Heard,Like
Little Toy Guns,Carrie Underwood,0.434,0.868,0.204,161.886,Haven't Heard,Like
Omerta,Drake,0.6459999999999999,0.899,0.685,164.11900000000003,Haven't Heard,Like
Into The Unknown,Idina Menzel & AURORA,0.32299999999999995,0.405,0.27399999999999997,145.10399999999996,Heard,Like
The Fix,Nelly Featuring Jeremih,0.812,0.479,0.0873,95.505,Haven't Heard,Like
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",0.7340000000000001,0.892,0.605,138.031,Haven't Heard,Like
The Way,Ariana Grande Featuring Mac Miller,0.645,0.877,0.861,82.324,Haven't Heard,Dislike
Rich,Maren Morris,0.565,0.855,0.852,74.98,Heard,Like
Up Down,Morgan Wallen Featuring Florida Georgia Line,0.589,0.882,0.7929999999999999,129.915,Heard,Like
P.Y.T. (Pretty Young Thing),Glee Cast,0.846,0.77,0.8959999999999999,127.36200000000001,Haven't Heard,Like
Animal,Glee Cast,0.5710000000000001,0.6459999999999999,0.7609999999999999,147.921,Haven't Heard,Like
Stay,Zedd & Alessia Cara,0.69,0.622,0.544,102.04,Haven't Heard,Like
Remember You,Wiz Khalifa Featuring The Weeknd,0.726,0.775,0.777,127.943,Haven't Heard,Like
Heartbreak Warfare,John Mayer,0.624,0.5539999999999999,0.311,97.031,Heard,Like
2 Reasons,Trey Songz Featuring T.I.,0.7340000000000001,0.746,0.539,94.03299999999999,Haven't Heard,Like
Shining,DJ Khaled Featuring Beyonce & JAY Z,0.768,0.807,0.575,112.001,Haven't Heard,Like
Still Here,Drake,0.833,0.431,0.22399999999999998,133.938,Haven't Heard,Like
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,0.8029999999999999,0.743,0.674,108.005,Haven't Heard,Like
Whispers In The Dark,Mumford & Sons,0.385,0.73,0.36,134.659,Haven't Heard,Dislike
Locked Out Of Heaven,Bruno Mars,0.726,0.698,0.867,143.994,Haven't Heard,Dislike
Word Crimes,"""Weird Al"" Yankovic",0.897,0.43,0.9640000000000001,121.98700000000001,Haven't Heard,Dislike
Issues,Julia Michaels,0.728,0.415,0.455,114.145,Haven't Heard,Dislike
Check It Out,will.i.am & Nicki Minaj,0.8490000000000001,0.657,0.741,130.107,Haven't Heard,Dislike
4422,Drake Featuring Sampha,0.61,0.22899999999999998,0.19,111.887,Haven't Heard,Like
Young Dumb & Broke,Khalid,0.7979999999999999,0.539,0.39399999999999996,136.94899999999998,Haven't Heard,Like
Want U Back,Cher Lloyd,0.6940000000000001,0.8909999999999999,0.563,97.939,Haven't Heard,Like
The Moment I Knew,Taylor Swift,0.62,0.506,0.275,126.015,Heard,Like
